"날짜","스크린수","스크린점유율","상영횟수","상영점유율","좌석수","좌석점유율","매출액","매출액증감.전일대비.","관객수","관객수증감.전일대비.","누적매출액","누적관객수","순위"
2017-06-30,2,0,2,0,705,100,5640000,"5640000( 100.0%)",705,"705( 100.0%)",5640000,705,18
2017-07-01,3,0.1,3,0,456,100,4560000,"-1080000( -19.1%)",456,"-249( -35.3%)",10200000,1161,27
2017-07-02,2,0,2,0,932,100,9444000,"4884000( 107.1%)",932,"476( 104.4%)",19644000,2093,22
2017-07-03,3,0.1,3,0,1434,98.3,11280000,"1836000( 19.4%)",1410,"478( 51.3%)",30924000,3503,11
2017-07-04,8,0.2,8,0.1,3098,100,27943000,"16663000( 147.7%)",3098,"1688( 119.7%)",58867000,6601,9
2017-07-05,1703,39.6,9117,57.8,1702485,32,4247758050,"4219815050( 15101.5%)",545304,"542206( 17501.8%)",4306625050,551905,1
2017-07-06,1733,39,9170,57.9,1710240,23.7,3156783500,"-1090974550( -25.7%)",405399,"-139905( -25.7%)",7463408550,957304,1
2017-07-07,1796,39.6,9533,58.5,1765989,30.4,4552872932,"1396089432( 44.2%)",537526,"132127( 32.6%)",12016281482,1494830,1
2017-07-08,1965,41.1,10679,62.3,1942894,56.6,9290735642,"4737862710( 104.1%)",1098752,"561226( 104.4%)",21307017124,2593582,1
2017-07-09,1965,41.6,10524,63,1914659,50.7,8168301700,"-1122433942( -12.1%)",970771,"-127981( -11.6%)",29475318824,3564353,1
2017-07-10,1761,41.6,9331,60.6,1732372,14.7,1977266100,"-6191035600( -75.8%)",254624,"-716147( -73.8%)",31452584924,3818977,1
2017-07-11,1797,39.9,9249,59.7,1717988,15.6,2051712700,"74446600( 3.8%)",267167,"12543( 4.9%)",33504297624,4086144,1
2017-07-12,1705,38.8,8859,56.8,1655416,13,1644824300,"-406888400( -19.8%)",215812,"-51355( -19.2%)",35149121924,4301956,1
2017-07-13,1668,34.2,8446,53.5,1590666,11.6,1403485100,"-241339200( -14.7%)",183923,"-31889( -14.8%)",36552607024,4485879,1
2017-07-14,1700,33.5,8751,53.6,1648424,15.6,2143060542,"739575442( 52.7%)",256830,"72907( 39.6%)",38695667566,4742709,1
2017-07-15,1781,33.1,9257,52.9,1726791,36.6,5301817757,"3158757215( 147.4%)",632065,"375235( 146.1%)",43997485323,5374774,1
2017-07-16,1762,33.4,8901,52.6,1663151,31.8,4416140150,"-885677607( -16.7%)",528457,"-103608( -16.4%)",48413625473,5903231,1
2017-07-17,1600,34.8,8068,52.4,1531173,8.1,958471900,"-3457668250( -78.3%)",124148,"-404309( -76.5%)",49372097373,6027379,1
2017-07-18,1617,33.3,7934,51.6,1508136,7.4,853658600,"-104813300( -10.9%)",111280,"-12868( -10.4%)",50225755973,6138659,1
2017-07-19,1472,29.1,7229,44.7,1395338,7.4,791554400,"-62104200( -7.3%)",103671,"-7609( -6.8%)",51017310373,6242330,1
2017-07-20,895,15.8,3744,20.4,638251,12.5,595059400,"-196495000( -24.8%)",79499,"-24172( -23.3%)",51612369773,6321829,2
2017-07-21,897,15.6,3834,20.3,642736,17.7,941842632,"346783232( 58.3%)",113462,"33963( 42.7%)",52554212405,6435291,2
2017-07-22,918,15,3841,19.4,640267,35.2,1880499025,"938656393( 99.7%)",225367,"111905( 98.6%)",54434711430,6660658,2
2017-07-23,914,14.9,3753,19.4,627127,31.1,1628030050,"-252468975( -13.4%)",195009,"-30358( -13.5%)",56062741480,6855667,2
2017-07-24,876,15.8,3606,19.6,604599,10.4,471231900,"-1156798150( -71.1%)",62945,"-132064( -67.7%)",56533973380,6918612,2
2017-07-25,879,15.4,3611,19.6,601290,10.4,468059800,"-3172100( -0.7%)",62825,"-120( -0.2%)",57002033180,6981437,2
2017-07-26,429,7.8,785,4.3,101143,28.4,176787300,"-291272500( -62.2%)",28732,"-34093( -54.3%)",57178820480,7010169,4
2017-07-27,410,7.7,760,4.1,96735,22.8,161682200,"-15105100( -8.5%)",22024,"-6708( -23.3%)",57340502680,7032193,4
2017-07-28,421,7.9,727,3.9,90239,27.7,204813566,"43131366( 26.7%)",25030,"3006( 13.6%)",57545316246,7057223,4
2017-07-29,414,7.5,643,3.3,81285,46.4,308486974,"103673408( 50.6%)",37683,"12653( 50.6%)",57853803220,7094906,4
2017-07-30,425,7.8,697,3.7,88436,42.4,308145100,"-341874( -0.1%)",37500,"-183( -0.5%)",58161948320,7132406,4
2017-07-31,490,9.2,877,4.7,114795,30.8,263303300,"-44841800( -14.6%)",35402,"-2098( -5.6%)",58425251620,7167808,4
2017-08-01,497,9,893,4.7,117638,28.9,252998700,"-10304600( -3.9%)",34024,"-1378( -3.9%)",58678250320,7201832,4
2017-08-02,117,2.2,187,1,23210,35,60191300,"-192807400( -76.2%)",8123,"-25901( -76.1%)",58738441620,7209955,7
2017-08-03,116,2.1,189,1,23273,30.3,52714100,"-7477200( -12.4%)",7051,"-1072( -13.2%)",58791155720,7217006,7
2017-08-04,116,2.1,192,1,24008,29.8,59579600,"6865500( 13.0%)",7144,"93( 1.3%)",58850735320,7224150,7
2017-08-05,120,2.1,189,1,23626,40.6,80729400,"21149800( 35.5%)",9586,"2442( 34.2%)",58931464720,7233736,7
2017-08-06,116,2.1,187,1,22883,32.5,62509700,"-18219700( -22.6%)",7437,"-2149( -22.4%)",58993974420,7241173,7
2017-08-07,126,2.4,209,1.2,26788,16.5,33353000,"-29156700( -46.6%)",4430,"-3007( -40.4%)",59027327420,7245603,6
2017-08-08,121,2.3,208,1.2,26222,17.9,33650500,"297500( 0.9%)",4702,"272( 6.1%)",59060977920,7250305,7
2017-08-09,32,0.6,46,0.2,5771,27.7,10890100,"-22760400( -67.6%)",1601,"-3101( -66.0%)",59071868020,7251906,11
2017-08-10,20,0.4,28,0.1,3409,19.8,5091500,"-5798600( -53.2%)",676,"-925( -57.8%)",59076959520,7252582,17
2017-08-11,18,0.3,23,0.1,3017,27.7,7062000,"1970500( 38.7%)",835,"159( 23.5%)",59084021520,7253417,15
2017-08-12,21,0.3,29,0.1,3918,26.6,8888000,"1826000( 25.9%)",1044,"209( 25.0%)",59092909520,7254461,15
2017-08-13,19,0.3,25,0.1,2905,28.4,6774000,"-2114000( -23.8%)",824,"-220( -21.1%)",59099683520,7255285,17
2017-08-14,18,0.3,22,0.1,2860,29.3,6191500,"-582500( -8.6%)",839,"15( 1.8%)",59105875020,7256124,15
2017-08-15,6,0.1,6,0,688,38.7,2084500,"-4107000( -66.3%)",266,"-573( -68.3%)",59107959520,7256390,28
2017-08-16,7,0.1,7,0,688,32.7,1713000,"-371500( -17.8%)",225,"-41( -15.4%)",59109672520,7256615,27
2017-08-17,4,0.1,4,0,392,48,1237500,"-475500( -27.8%)",188,"-37( -16.4%)",59110910020,7256803,32
2017-08-18,4,0.1,4,0,365,43,1156000,"-81500( -6.6%)",157,"-31( -16.5%)",59112066020,7256960,33
2017-08-19,6,0.1,6,0,708,36.7,2152500,"996500( 86.2%)",260,"103( 65.6%)",59114218520,7257220,26
2017-08-20,3,0.1,3,0,332,42.5,1159000,"-993500( -46.2%)",141,"-119( -45.8%)",59115377520,7257361,34
2017-08-21,4,0.1,7,0,904,18,1208300,"49300( 4.3%)",163,"22( 15.6%)",59116585820,7257524,33
2017-08-22,3,0.1,4,0,424,25.9,756500,"-451800( -37.4%)",110,"-53( -32.5%)",59117342320,7257634,40
2017-08-23,2,0,3,0,318,20.4,475500,"-281000( -37.1%)",65,"-45( -40.9%)",59117817820,7257699,54
2017-08-24,2,0,2,0,226,33.2,532500,"57000( 12.0%)",75,"10( 15.4%)",59118350320,7257774,59
